gender,age,civilStatus,childrens,district,health,closeFriends,work,workHoursWeek,familyMembers,familiarIncome,fatherStudy,motherStudy,university,typeExam,elementarySchool,profession,yearStudy,universitySelectionReazon,minToTravel,weekStudyTime,failCourses,AsistancePercentage,midterExam,finalExam,practiceGrade,FinalGrade,StudentPerformance
1,44,0,2,3,0,6,1,40,5,1,1,0,0,1,0,2,4,3,2.0,4.0,0,100,16,16,18.0,16.66666667,2
0,28,1,0,3,2,5,1,8,10,2,0,0,0,1,0,2,4,3,50.0,4.0,0,90,13,15,16.0,14.66666667,2
0,34,1,2,1,0,3,1,8,3,1,1,0,0,1,0,2,4,3,40.0,5.0,0,90,12,13,14.0,13.0,1
1,24,1,2,0,0,1,1,48,7,2,0,1,1,1,1,2,4,3,1.0,12.0,0,15,15,15,15.0,15.0,2
1,27,0,0,3,2,3,1,40,14,2,1,1,0,1,1,2,2,3,2.0,28.0,0,98,16,16,15.0,15.66666667,2
0,47,0,2,3,2,10,1,15,4,2,1,1,0,1,0,2,4,1,2.0,8.0,0,100,15,16,16.0,15.66666667,2
0,50,0,2,1,0,0,1,10,3,2,1,1,0,1,1,2,4,3,90.0,6.0,0,98,14,14,16.0,14.66666667,2
0,25,0,0,3,0,7,1,25,4,2,0,0,0,1,0,2,2,3,100.0,3.0,0,100,14,15,14.0,14.33333333,2
0,23,1,0,2,0,12,1,35,4,1,0,0,1,1,0,2,5,1,35.0,6.0,4,100,14,13,16.0,14.33333333,2
0,56,0,3,3,0,20,1,48,5,1,0,0,0,1,0,2,2,3,90.0,2.0,0,99,14,14,14.0,14.0,2
0,34,0,1,0,1,4,1,48,5,1,1,0,0,1,0,2,2,3,60.0,2.0,0,100,16,12,14.0,14.0,2
0,36,0,3,3,0,3,0,40,10,1,0,1,0,1,0,2,2,3,1.0,3.0,0,100,16,16,16.0,16.0,2
0,39,0,0,3,1,3,1,48,3,2,1,0,0,1,0,2,4,3,60.0,5.0,0,100,12,13,14.0,13.0,1
0,25,1,0,1,0,0,1,96,3,0,0,1,0,1,0,2,2,3,25.0,2.0,2,70,12,12,12.0,12.0,1
1,21,1,0,2,0,3,0,0,6,2,1,1,1,0,0,2,4,1,10.0,4.0,1,100,17,14,17.0,16.0,2
0,48,1,0,2,0,0,0,0,3,2,0,0,0,1,0,2,4,3,15.0,40.0,0,100,18,18,17.0,17.66666667,0
0,40,0,2,3,0,5,1,38,5,2,1,0,0,1,0,2,2,0,50.0,8.0,0,100,16,14,15.0,15.0,2
0,40,0,2,3,0,5,1,38,5,2,1,0,0,1,0,2,2,0,50.0,8.0,0,100,16,14,15.0,15.0,2
0,53,0,2,1,0,15,1,40,4,2,1,1,0,1,0,2,2,3,20.0,10.0,0,100,16,16,16.0,16.0,2
0,24,1,0,3,2,1,0,0,8,1,0,0,1,1,0,2,4,3,3.0,4.0,0,100,16,13,13.0,14.0,2
0,28,0,0,0,0,2,1,58,4,1,1,0,0,1,0,2,2,3,30.0,6.0,1,99,16,16,17.0,16.33333333,2
0,39,1,0,3,2,5,1,6,5,1,0,0,0,1,0,2,2,3,120.0,10.0,0,100,15,14,15.0,14.66666667,2
0,27,1,0,3,0,5,1,4,13,2,0,0,0,1,0,2,2,3,1.0,5.0,0,98,15,13,16.0,14.66666667,2
0,45,0,2,1,0,5,1,8,4,0,1,1,0,1,0,2,4,3,1.0,6.0,0,100,15,18,17.0,16.66666667,2
1,30,1,0,3,0,6,1,40,5,1,0,0,0,1,0,2,4,3,45.0,6.0,0,96,15,14,15.0,14.66666667,2
0,20,1,0,1,0,4,1,30,5,2,1,0,1,1,0,2,4,1,20.0,3.0,3,99,15,15,16.0,15.33333333,2
0,56,1,1,1,0,10,1,40,8,2,0,0,0,1,0,2,2,3,20.0,20.0,0,90,14,16,15.0,15.0,2
0,20,0,0,2,2,4,0,0,2,1,0,0,1,1,1,2,3,1,20.0,4.0,1,90,13,13,14.0,13.33333333,2
1,20,1,0,1,0,15,0,0,4,2,0,1,1,0,1,2,4,0,30.0,6.0,0,100,18,17,17.0,17.33333333,0
0,51,0,2,2,2,30,1,48,6,2,1,0,0,1,0,2,4,3,70.0,10.0,0,98,15,16,14.0,15.0,2
0,30,1,0,3,2,2,1,50,8,2,1,1,0,0,0,2,4,3,75.0,5.0,0,95,13,13,14.0,13.33333333,2
0,22,1,0,3,0,4,1,52,5,2,0,0,0,1,0,2,4,3,30.0,12.0,0,100,14,15,17.0,15.33333333,2
0,29,1,0,2,2,3,1,48,5,1,0,0,0,1,0,2,3,3,2.0,4.0,5,85,15,13,14.0,14.0,2
0,30,0,0,1,2,2,1,12,3,1,0,0,0,1,0,2,4,3,420.0,4.0,3,98,14,15,15.0,14.66666667,2
0,24,1,0,3,0,4,1,40,7,2,0,0,1,1,0,2,4,3,90.0,50.0,0,80,15,16,14.0,15.0,2
0,24,1,0,3,0,4,1,40,7,2,0,0,1,1,0,2,4,3,90.0,6.0,0,80,14,16,14.0,14.66666667,2
1,21,0,0,3,2,1,1,8,6,1,0,0,1,0,0,2,4,0,3.0,4.0,3,100,10,8,10.0,9.333333333,1
0,28,0,1,1,0,15,1,91,3,0,0,0,0,1,1,2,4,3,5.0,1.5,1,85,14,14,16.0,14.66666667,2
0,19,0,0,2,0,15,0,0,8,1,0,1,1,1,0,2,3,3,45.0,2.0,0,100,15,15,15.0,15.0,2
0,34,1,0,2,0,4,1,40,4,2,1,0,0,1,0,2,2,3,50.0,6.0,0,95,15,14,17.0,15.33333333,2
0,25,1,0,1,0,3,0,12,5,2,0,0,1,1,0,2,3,3,60.0,4.0,2,90,15,15,15.0,15.0,2
0,23,1,0,2,0,5,1,20,4,2,0,0,0,1,1,2,5,3,60.0,3.0,4,95,13,13,13.0,13.0,1
0,46,0,2,0,1,5,0,60,4,1,0,0,0,1,0,2,4,1,180.0,6.0,1,100,14,14,16.0,14.66666667,2
0,21,1,0,1,0,0,1,10,5,2,1,1,1,1,1,2,4,1,1.0,10.0,1,100,16,16,16.0,16.0,2
0,20,1,0,2,0,4,1,25,4,2,1,1,1,1,0,2,3,3,50.0,5.0,2,100,14,13,14.0,13.66666667,2
0,39,0,0,3,0,3,1,50,2,1,0,0,0,1,0,2,2,3,100.0,2.0,0,100,14,15,17.0,15.33333333,2
1,21,1,0,3,0,5,1,30,6,1,1,0,0,1,0,2,4,3,150.0,2.0,2,100,16,12,14.0,14.0,2
0,20,1,0,1,0,10,1,20,5,2,0,0,0,0,1,2,4,3,60.0,5.0,4,95,14,13,15.0,14.0,2
0,20,1,0,0,2,10,0,0,3,1,0,0,0,1,1,2,4,1,5.0,6.0,3,100,12,11,15.0,12.66666667,1
1,24,0,0,2,0,5,0,0,10,2,1,0,0,1,0,2,4,3,120.0,6.0,3,100,14,13,15.0,14.0,2
1,21,1,0,3,0,3,0,0,4,2,1,1,0,1,0,2,4,3,4.0,12.0,0,100,14,14,15.0,14.33333333,2
1,20,1,0,0,0,5,0,0,4,2,0,0,0,1,0,2,4,3,90.0,3.0,2,90,12,12,15.0,13.0,1
0,25,1,0,2,2,3,0,0,4,1,0,0,0,0,0,2,4,3,120.0,4.0,3,99,13,13,15.0,13.66666667,2
0,22,1,0,2,0,4,0,0,5,2,1,1,0,1,0,2,4,3,45.0,5.0,0,100,14,13,15.0,14.0,2
0,29,1,0,3,0,5,1,24,2,1,1,1,0,1,0,2,5,3,120.0,3.0,0,90,13,12,13.0,12.66666667,1
1,22,1,0,3,0,3,0,0,4,2,1,0,0,1,1,2,4,3,90.0,6.0,44,100,15,14,16.0,15.0,2
0,22,1,0,3,0,8,1,25,9,1,0,0,0,1,0,2,5,1,30.0,45.0,1,100,14,13,15.0,14.0,2
0,24,1,0,2,0,4,1,48,7,2,0,0,0,0,0,2,5,3,90.0,4.0,6,95,6,14,11.0,10.33333333,1
0,23,0,0,0,0,4,1,30,5,2,1,1,0,0,1,2,5,3,70.0,1.0,15,100,12,13,15.0,13.33333333,2
1,20,1,0,3,0,4,0,0,5,2,1,1,0,1,0,2,4,3,60.0,4.0,0,100,15,14,14.0,14.33333333,2
1,23,1,0,2,2,2,1,48,3,2,0,0,0,1,0,2,5,3,50.0,4.0,0,80,13,13,14.0,13.33333333,2
